SetId,SlotId,SlotEntry,StartTime,Duration,FinishTime,RoomId,ClassId,ClassificationName,ModGrpCode,ModuleIds,DeptId,LecturerIds
TIMES13-14,21539,1,03/10/2013 09:30:00,180,03/10/2013 12:30:00,5A.101,LEC,Lecture,,BE852-7-AU,BE,"OBUZF32301, ZBBTF14701"
TIMES13-14,22902,1,03/10/2013 11:00:00,120,03/10/2013 13:00:00,2S2.3.20,LAB,Laboratory,NULL,HS881-7-AU,HS,UNEEV75404
TIMES13-14,39023,1,03/10/2013 13:00:00,60,03/10/2013 14:00:00,Library Foyer,SEM,Seminar,SEMa04,BE951-7-AU,BE,ZNPZV34501
TIMES13-14,35278,1,03/10/2013 13:00:00,180,03/10/2013 16:00:00,4SB.6.3,LAB,Laboratory,NULL,HS152-4-AU,HS,"CELRE14700, FGRVA32208"
TIMES13-14,15968,1,03/10/2013 13:00:00,180,03/10/2013 16:00:00,4SB.6.1,LEC,Lecture,NULL,HS168-4-AU,HS,ONAAN63506
TIMES13-14,35467,1,03/10/2013 13:00:00,180,03/10/2013 16:00:00,4SB.6.6,LAB,Laboratory,,HS811-7-AU,HS,ZNYYB46001
TIMES13-14,21540,1,03/10/2013 14:00:00,180,03/10/2013 17:00:00,5A.101,LEC,Lecture,,BE852-7-AU,BE,"OBUZF32301, ZBBTF14701"
TIMES13-14,22905,1,03/10/2013 14:00:00,120,03/10/2013 16:00:00,2S2.3.20,LAB,Laboratory,NULL,HS881-7-AU,HS,UNEEV75404
TIMES13-14,22909,1,03/10/2013 14:00:00,180,03/10/2013 17:00:00,4SB.6.8,LEC,Lecture,NULL,HS882-7-AU,HS,TERRA18419
TIMES13-14,35279,1,04/10/2013 09:00:00,180,04/10/2013 12:00:00,4SB.6.3,LAB,Laboratory,NULL,HS152-4-AU,HS,"CELRE14700, FGRVA32208"
TIMES13-14,35468,1,04/10/2013 09:00:00,180,04/10/2013 12:00:00,4SB.6.6,LAB,Laboratory,,HS811-7-AU,HS,ZNYYB46001
TIMES13-14,6452,1,04/10/2013 09:30:00,180,04/10/2013 12:30:00,5A.101,LEC,Lecture,,BE855-7-AU,BE,JNEUH77609
TIMES13-14,43567,1,04/10/2013 11:30:00,330,04/10/2013 17:00:00,Off Campus,SEM,Seminar,SEMa13,HR831-6-FY,HR,EBFFB94807
TIMES13-14,38851,1,04/10/2013 12:00:00,60,04/10/2013 13:00:00,3.108,PRS,Presentation,NULL,BE466-7-SP,BE,ZNPZV34501
TIMES13-14,35469,1,04/10/2013 13:00:00,180,04/10/2013 16:00:00,4SB.6.6,LAB,Laboratory,,HS811-7-AU,HS,ZNYYB46001
TIMES13-14,21557,1,04/10/2013 14:00:00,180,04/10/2013 17:00:00,5A.101,LEC,Lecture,,BE855-7-AU,BE,JNEUH77609
TIMES13-14,39025,1,04/10/2013 14:00:00,60,04/10/2013 15:00:00,Library Foyer,SEM,Seminar,SEMa05,BE951-7-AU,BE,ZNPZV34501
TIMES13-14,22817,1,04/10/2013 16:00:00,60,04/10/2013 17:00:00,2S2.3.20,CLA,Class,CLAa01,HS860-7-AU,HS,PBAFG57704
TIMES13-14,22818,1,04/10/2013 16:00:00,60,04/10/2013 17:00:00,4SB.6.8,CLA,Class,CLAa02,HS860-7-AU,HS,"PBEEV99805, QNYRL11304"
TIMES13-14,36671,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,IC Hall B,LEC,Lecture,,"BE131-6-AU, BE131-6-ZA",BE,"SNQMY31003, ZNYNT31705"
SEND13-14,2406,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,GB.3.52,LEC,LECTURE,,BE201-4-FY,SO-BE,FRATH29603
TIMES13-14,22478,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,TC2.8+TC2.9,LEC,Lecture,,BE472-7-AU,BE,"UVGPU91602, IBYXZ50709"
SEND13-14,2429,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,GB.3.50,LEC,LECTURE,,BE516-5-AU,SO-BE,BMQRZ20902
TIMES13-14,42786,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,Office,TUT,Tutorial,TUTa26,BS141-4-FY,BS,ONXRE06410
TIMES13-14,38065,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,3.501,TUT,Tutorial,TUTa16,BS141-4-FY,BS,TRVQR84509
TIMES13-14,38067,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,3.406,TUT,Tutorial,TUTa18,BS141-4-FY,BS,ZPTRA80604
TIMES13-14,38069,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,3.411,TUT,Tutorial,TUTa20,BS141-4-FY,BS,ZHYYV06704
TIMES13-14,6317,1,07/10/2013 09:00:00,180,07/10/2013 12:00:00,VB13,LEC,Lecture,NULL,BS914-7-AU,BS,ZVPXY12001
TIMES13-14,11718,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,LTB06,LEC,Lecture,,CE101-4-SP,CE,IVPXR53909
TIMES13-14,509,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,4.722,LEC,Lecture,,"CE203-5-AU, CE203-5-ZA",CE,XEHFP67809
TIMES13-14,5111,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,4N.2.3,LEC,Lecture,,"CE319-6-AU, CE319-6-ZA",CE,FGRRY62454
TIMES13-14,22668,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,6.126A,LEC,Lecture,,"CE338-6-AU, CE338-6-ZA",CE,ONYXN73300
TIMES13-14,589,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,6.333,LEC,Lecture,NULL,CE703-7-AU,CE,JNYXR72201
TIMES13-14,689,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,5N.4.7,LEC,Lecture,,CF962-7-AU,CF,ATJVA22704
TIMES13-14,21507,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,LTB09,CLA,Class,,"EC371-6-AU, EC371-6-ZA",EC,ONVYR32703
TIMES13-14,41165,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,5A.303,LEC,Lecture,,"GV538-6-AU, GV538-6-FY, GV538-6-ZA, GV538-7-AU, GV538-7-FY",GV,OBHUN18305
TIMES13-14,11393,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,5N.4.8,SEM,Seminar,,GV902-7-FY,GV,", PUVON06708"
TIMES13-14,23433,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,3.318,SEM,Seminar,,GV914-7-FY,GV,ORETR02700
TIMES13-14,19858,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,TC1.10,SEM,Seminar,,GV984-7-FY,GV,YVAQF82604
TIMES13-14,23264,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,4.311,LEC,Lecture,NULL,HR370-6-AU,HR,SERRZ00603
TIMES13-14,22910,1,07/10/2013 09:00:00,240,07/10/2013 13:00:00,4SB.6.8,LEC,Lecture,NULL,HS882-7-AU,HS,TERRA18419
TIMES13-14,36516,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,5B.105,SEM,Seminar,NULL,LA260-6-FY,LA,UBCCR77604
TIMES13-14,37241,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,3.408,CLA,Class,,"LA910-4-FY, LA910-4-ZA",LA,PGB\DVAT
TIMES13-14,18037,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,5B.330,LEC,Lecture,,"LG204-5-FY, LG204-5-ZA",LG,XHYNA52103
TIMES13-14,25364,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,2.407,LAB,Laboratory,NULL,LG533-7-AU,LG,RVFRA00503
TIMES13-14,22219,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,TC1.17,SEM,Seminar,SEMa01,LT360-6-AU,LT,TVYYV39708
TIMES13-14,38467,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,5N.4.6,SEM,Seminar,,LT907-7-AU,LT,ONUHA03209
TIMES13-14,22240,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,2.404,SEM,Seminar,,LT978-7-AU,LT,BYVIR79506
TIMES13-14,44005,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,LTB07,LEC,Lecture,,"LW104-4-FY, LW104-5-FY, LW104-6-FY",LW,OERAA17601
TIMES13-14,2237,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,LTB03,LEC,Lecture,,LW335-6-AU,LW,ZBENA55704
TIMES13-14,2254,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,TC1.12,LEC,Lecture,NULL,LW605-7-AU,LW,SNENU62604
TIMES13-14,8083,1,07/10/2013 09:00:00,180,07/10/2013 12:00:00,5A.106,LEC,Lecture,NULL,LW902-7-AU,LW,FURRE77605
TIMES13-14,22652,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,LTB05,LEC,Lecture,,"MA305-6-AU, MA305-7-AU",MA,LNATK23408
TIMES13-14,6816,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,IC Hall A,LEC,Lecture,,PS114-4-FY,PS,SNAGV49809
TIMES13-14,5445,1,07/10/2013 09:00:00,60,07/10/2013 10:00:00,LTB04,LEC,Lecture,,PY400-5-FY,PY,TBEZY99407
TIMES13-14,44523,1,07/10/2013 09:00:00,120,07/10/2013 11:00:00,5N.7.23,SEM,Seminar,,"SC107-4-AU, SC107-4-FY, SC107-4-ZA",SC,PNARF92508
TIMES13-14,14913,1,07/10/2013 09:30:00,180,07/10/2013 12:30:00,5A.101,LEC,Lecture,,BE852-7-AU,BE,MNXNE26702
TIMES13-14,35091,1,07/10/2013 10:00:00,120,07/10/2013 12:00:00,TC1.7,LEC,Lecture,,BE154-7-AU,BE,HQQVA11804
SEND13-14,2407,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,GB.3.52,CLA,CLASS,CLAa01,BE201-4-FY,SO-BE,ZNAQE66703
SEND13-14,2439,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,TF.2.14,LEC,LECTURE,,BE338-6-AU,SO-BE,QVZVG18309
SEND13-14,2430,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,GB.3.50,CLA,CLASS,,BE516-5-AU,SO-BE,NWNLV72607
TIMES13-14,38456,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,IC Hall A,LEC,Lecture,,BE901-4-AU,BE,SENAQ61907
SEND13-14,2449,1,07/10/2013 10:00:00,120,07/10/2013 12:00:00,TF.0.11,LEC,LECTURE,,BE955-7-AU,SO-BE,YVWHA81900
TIMES13-14,38059,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,VB10,TUT,Tutorial,TUTa10,BS141-4-FY,BS,XNQAR22207
TIMES13-14,38050,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,3.406,TUT,Tutorial,TUTa01,BS141-4-FY,BS,XYRAB10903
TIMES13-14,38053,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,3.411,TUT,Tutorial,TUTa04,BS141-4-FY,BS,ERRQR05204
TIMES13-14,38064,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,2.405,TUT,Tutorial,TUTa15,BS141-4-FY,BS,ERLAB02609
TIMES13-14,38056,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,VB09,TUT,Tutorial,TUTa07,BS141-4-FY,BS,MJNPX67603
TIMES13-14,36707,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,SC2.7,LEC,Lecture,,BS142-4-FY,BS,OBGUN93505
TIMES13-14,37213,1,07/10/2013 10:00:00,60,07/10/2013 11:00:00,LTB02,LEC,Lecture,,"BS222-5-AU, BS222-5-ZA",BS,YYBLQ82006
